"","subid","age","task","item","q","q_kind","answer","task_num","site","age_group"
"106","A0622",11.45790554,"moral","push",3,2,"0",NA,"India",NA
"107","A0624",11.00889802,"moral","push",3,2,"0",NA,"India",NA
"108","Z06004",11.50171116,"moral","push",3,2,"0",NA,"India",NA
"109","Z06006",11.44969199,"moral","push",3,2,"0",NA,"India",NA
"110","Z06010",11.94250513,"moral","push",3,2,"0",NA,"India",NA
"111","Z06012",11.61943874,"moral","push",3,2,"0",NA,"India",NA
"112","Z06013",10.61738535,"moral","push",3,2,"0",NA,"India",NA
"113","Z06015",11.50171116,"moral","push",3,2,"0",NA,"India",NA
"114","Z06018",11.24982888,"moral","push",3,2,"1",NA,"India",NA
"115","Z06022",10.81998631,"moral","push",3,2,"0",NA,"India",NA
"116","Z09002",17.36892539,"moral","push",3,2,"0",NA,"India",NA
"117","Z09010",14.2477755,"moral","push",3,2,"0",NA,"India",NA
"118","Z09011",13.9028063,"moral","push",3,2,"0",NA,"India",NA
"119","Z09022",13.76043806,"moral","push",3,2,"1",NA,"India",NA
"120","Z09025",13.76043806,"moral","push",3,2,"0",NA,"India",NA
"121","Z09026",14.6091718,"moral","push",3,2,"0",NA,"India",NA
"122","Z09031",14.95140315,"moral","push",3,2,"0",NA,"India",NA
"123","Z09035",13.65913758,"moral","push",3,2,"1",NA,"India",NA
"124","A0517",10.47501711,"moral","push",3,3,"0",NA,"India",NA
"125","A0519",10.6255989,"moral","push",3,3,"0",NA,"India",NA
"126","A0524",10.28336756,"moral","push",3,3,"0",NA,"India",NA
"127","A0525",10.68035592,"moral","push",3,3,"1",NA,"India",NA
"128","A0526",10.30253251,"moral","push",3,3,"0",NA,"India",NA
"129","A0527",10.17111567,"moral","push",3,3,"0",NA,"India",NA
"130","A0528",10.67488022,"moral","push",3,3,"0",NA,"India",NA
"131","A0529",10.55715264,"moral","push",3,3,"0",NA,"India",NA
"132","A0530",10.80355921,"moral","push",3,3,"0",NA,"India",NA
"133","A0531",11.18138261,"moral","push",3,3,"0",NA,"India",NA
"134","A0532",10.19849418,"moral","push",3,3,"0",NA,"India",NA
"135","A0601",10.36550308,"moral","push",3,3,"0",NA,"India",NA
"136","A0603",11.38672142,"moral","push",3,3,"0",NA,"India",NA
"137","A0603",11.38672142,"moral","push",3,3,"1",NA,"India",NA
"138","A0604",11.41957563,"moral","push",3,3,"0",NA,"India",NA
"139","A0605",11.66324435,"moral","push",3,3,"0",NA,"India",NA
"140","A0606",10.92950034,"moral","push",3,3,"0",NA,"India",NA
"141","A0607",10.85284052,"moral","push",3,3,"0",NA,"India",NA
"142","A0609",11.43326489,"moral","push",3,3,"0",NA,"India",NA
"143","A0610",11.46338125,"moral","push",3,3,"1",NA,"India",NA
"144","A0614",11.76180698,"moral","push",3,3,"0",NA,"India",NA
"145","A0616",10.94045175,"moral","push",3,3,"0",NA,"India",NA
"146","A0619",11.44695414,"moral","push",3,3,"0",NA,"India",NA
"147","A0622",11.45790554,"moral","push",3,3,"0",NA,"India",NA
"148","A0624",11.00889802,"moral","push",3,3,"0",NA,"India",NA
"149","Z06004",11.50171116,"moral","push",3,3,"0",NA,"India",NA
"150","Z06006",11.44969199,"moral","push",3,3,"0",NA,"India",NA
"151","Z06010",11.94250513,"moral","push",3,3,"0",NA,"India",NA
"152","Z06012",11.61943874,"moral","push",3,3,"0",NA,"India",NA
"153","Z06013",10.61738535,"moral","push",3,3,"0",NA,"India",NA
"154","Z06015",11.50171116,"moral","push",3,3,"1",NA,"India",NA
"155","Z06018",11.24982888,"moral","push",3,3,"0",NA,"India",NA
"156","Z06022",10.81998631,"moral","push",3,3,"0",NA,"India",NA
"157","Z09002",17.36892539,"moral","push",3,3,"0",NA,"India",NA
"158","Z09010",14.2477755,"moral","push",3,3,"1",NA,"India",NA
"159","Z09011",13.9028063,"moral","push",3,3,"1",NA,"India",NA
"160","Z09022",13.76043806,"moral","push",3,3,"0",NA,"India",NA
"161","Z09025",13.76043806,"moral","push",3,3,"0",NA,"India",NA
"162","Z09026",14.6091718,"moral","push",3,3,"0",NA,"India",NA
"163","Z09031",14.95140315,"moral","push",3,3,"1",NA,"India",NA
"164","Z09035",13.65913758,"moral","push",3,3,"0",NA,"India",NA
"165","A0517",10.47501711,"conv","shoes",4,0,"2",NA,"India",NA
"166","A0519",10.6255989,"conv","shoes",4,0,"1",NA,"India",NA
"167","A0524",10.28336756,"conv","shoes",4,0,"1",NA,"India",NA
"168","A0525",10.68035592,"conv","shoes",4,0,"6",NA,"India",NA
"169","A0526",10.30253251,"conv","shoes",4,0,"1",NA,"India",NA
"170","A0527",10.17111567,"conv","shoes",4,0,"1",NA,"India",NA
"171","A0528",10.67488022,"conv","shoes",4,0,"1",NA,"India",NA
"172","A0529",10.55715264,"conv","shoes",4,0,"2",NA,"India",NA
"173","A0530",10.80355921,"conv","shoes",4,0,"1",NA,"India",NA
"174","A0531",11.18138261,"conv","shoes",4,0,NA,NA,"India",NA
"175","A0532",10.19849418,"conv","shoes",4,0,"1",NA,"India",NA
"176","A0601",10.36550308,"conv","shoes",4,0,"1",NA,"India",NA
"177","A0603",11.38672142,"conv","shoes",4,0,"1",NA,"India",NA
"178","A0603",11.38672142,"conv","shoes",4,0,"1",NA,"India",NA
"179","A0604",11.41957563,"conv","shoes",4,0,"1",NA,"India",NA
"180","A0605",11.66324435,"conv","shoes",4,0,"1",NA,"India",NA
"181","A0606",10.92950034,"conv","shoes",4,0,"1",NA,"India",NA
"182","A0607",10.85284052,"conv","shoes",4,0,"1",NA,"India",NA
"183","A0609",11.43326489,"conv","shoes",4,0,"1",NA,"India",NA
"184","A0610",11.46338125,"conv","shoes",4,0,"1",NA,"India",NA
"185","A0614",11.76180698,"conv","shoes",4,0,"2",NA,"India",NA
"186","A0616",10.94045175,"conv","shoes",4,0,"1",NA,"India",NA
"187","A0619",11.44695414,"conv","shoes",4,0,"1",NA,"India",NA
"188","A0622",11.45790554,"conv","shoes",4,0,"1",NA,"India",NA
"189","A0624",11.00889802,"conv","shoes",4,0,"1",NA,"India",NA
"190","Z06004",11.50171116,"conv","shoes",4,0,"1",NA,"India",NA
"191","Z06006",11.44969199,"conv","shoes",4,0,"1",NA,"India",NA
"192","Z06010",11.94250513,"conv","shoes",4,0,"1",NA,"India",NA
"193","Z06012",11.61943874,"conv","shoes",4,0,"1",NA,"India",NA
"194","Z06013",10.61738535,"conv","shoes",4,0,"1",NA,"India",NA
"195","Z06015",11.50171116,"conv","shoes",4,0,"1",NA,"India",NA
"196","Z06018",11.24982888,"conv","shoes",4,0,"1",NA,"India",NA
"197","Z06022",10.81998631,"conv","shoes",4,0,"1",NA,"India",NA
"198","Z09002",17.36892539,"conv","shoes",4,0,"2",NA,"India",NA
"199","Z09010",14.2477755,"conv","shoes",4,0,"1",NA,"India",NA
"200","Z09011",13.9028063,"conv","shoes",4,0,"3",NA,"India",NA
"201","Z09022",13.76043806,"conv","shoes",4,0,"1",NA,"India",NA
"202","Z09025",13.76043806,"conv","shoes",4,0,"2",NA,"India",NA
"203","Z09026",14.6091718,"conv","shoes",4,0,"1",NA,"India",NA
"204","Z09031",14.95140315,"conv","shoes",4,0,"2",NA,"India",NA
"205","Z09035",13.65913758,"conv","shoes",4,0,"1",NA,"India",NA
"206","A0517",10.47501711,"conv","shoes",4,1,"0",NA,"India",NA
"207","A0519",10.6255989,"conv","shoes",4,1,"0",NA,"India",NA
"208","A0524",10.28336756,"conv","shoes",4,1,"0",NA,"India",NA
"209","A0525",10.68035592,"conv","shoes",4,1,"1",NA,"India",NA
"210","A0526",10.30253251,"conv","shoes",4,1,"0",NA,"India",NA
"211","A0527",10.17111567,"conv","shoes",4,1,"0",NA,"India",NA
"212","A0528",10.67488022,"conv","shoes",4,1,"0",NA,"India",NA
"213","A0529",10.55715264,"conv","shoes",4,1,"0",NA,"India",NA
"214","A0530",10.80355921,"conv","shoes",4,1,"0",NA,"India",NA
"215","A0531",11.18138261,"conv","shoes",4,1,"1",NA,"India",NA
"216","A0532",10.19849418,"conv","shoes",4,1,"0",NA,"India",NA
"217","A0601",10.36550308,"conv","shoes",4,1,"0",NA,"India",NA
"218","A0603",11.38672142,"conv","shoes",4,1,"0",NA,"India",NA
"219","A0603",11.38672142,"conv","shoes",4,1,"0",NA,"India",NA
"220","A0604",11.41957563,"conv","shoes",4,1,"0",NA,"India",NA
"221","A0605",11.66324435,"conv","shoes",4,1,"0",NA,"India",NA
"222","A0606",10.92950034,"conv","shoes",4,1,"0",NA,"India",NA
"223","A0607",10.85284052,"conv","shoes",4,1,"0",NA,"India",NA
"224","A0609",11.43326489,"conv","shoes",4,1,"1",NA,"India",NA
"225","A0610",11.46338125,"conv","shoes",4,1,"0",NA,"India",NA
"226","A0614",11.76180698,"conv","shoes",4,1,"0",NA,"India",NA
"227","A0616",10.94045175,"conv","shoes",4,1,"0",NA,"India",NA
"228","A0619",11.44695414,"conv","shoes",4,1,"0",NA,"India",NA
"229","A0622",11.45790554,"conv","shoes",4,1,"0",NA,"India",NA
"230","A0624",11.00889802,"conv","shoes",4,1,"0",NA,"India",NA
"231","Z06004",11.50171116,"conv","shoes",4,1,"1",NA,"India",NA
"232","Z06006",11.44969199,"conv","shoes",4,1,"0",NA,"India",NA
"233","Z06010",11.94250513,"conv","shoes",4,1,"0",NA,"India",NA
"234","Z06012",11.61943874,"conv","shoes",4,1,"0",NA,"India",NA
"235","Z06013",10.61738535,"conv","shoes",4,1,"0",NA,"India",NA
"236","Z06015",11.50171116,"conv","shoes",4,1,"1",NA,"India",NA
"237","Z06018",11.24982888,"conv","shoes",4,1,"0",NA,"India",NA
"238","Z06022",10.81998631,"conv","shoes",4,1,"0",NA,"India",NA
"239","Z09002",17.36892539,"conv","shoes",4,1,"0",NA,"India",NA
"240","Z09010",14.2477755,"conv","shoes",4,1,"0",NA,"India",NA
"241","Z09011",13.9028063,"conv","shoes",4,1,"0",NA,"India",NA
"242","Z09022",13.76043806,"conv","shoes",4,1,"0",NA,"India",NA
"243","Z09025",13.76043806,"conv","shoes",4,1,"0",NA,"India",NA
"244","Z09026",14.6091718,"conv","shoes",4,1,"0",NA,"India",NA
"245","Z09031",14.95140315,"conv","shoes",4,1,"1",NA,"India",NA
"246","Z09035",13.65913758,"conv","shoes",4,1,"0",NA,"India",NA
"247","A0517",10.47501711,"conv","shoes",4,2,"0",NA,"India",NA
"248","A0519",10.6255989,"conv","shoes",4,2,"0",NA,"India",NA
"249","A0524",10.28336756,"conv","shoes",4,2,"0",NA,"India",NA
"250","A0525",10.68035592,"conv","shoes",4,2,"1",NA,"India",NA
"251","A0526",10.30253251,"conv","shoes",4,2,"0",NA,"India",NA
"252","A0527",10.17111567,"conv","shoes",4,2,"1",NA,"India",NA
"253","A0528",10.67488022,"conv","shoes",4,2,"0",NA,"India",NA
"254","A0529",10.55715264,"conv","shoes",4,2,"0",NA,"India",NA
"255","A0530",10.80355921,"conv","shoes",4,2,"0",NA,"India",NA
"256","A0531",11.18138261,"conv","shoes",4,2,"0",NA,"India",NA
"257","A0532",10.19849418,"conv","shoes",4,2,"0",NA,"India",NA
"258","A0601",10.36550308,"conv","shoes",4,2,"0",NA,"India",NA
"259","A0603",11.38672142,"conv","shoes",4,2,"0",NA,"India",NA
"260","A0603",11.38672142,"conv","shoes",4,2,"1",NA,"India",NA
"261","A0604",11.41957563,"conv","shoes",4,2,"0",NA,"India",NA
"262","A0605",11.66324435,"conv","shoes",4,2,"0",NA,"India",NA
"263","A0606",10.92950034,"conv","shoes",4,2,"0",NA,"India",NA
"264","A0607",10.85284052,"conv","shoes",4,2,"1",NA,"India",NA
"265","A0609",11.43326489,"conv","shoes",4,2,"0",NA,"India",NA
"266","A0610",11.46338125,"conv","shoes",4,2,"1",NA,"India",NA
"267","A0614",11.76180698,"conv","shoes",4,2,"1",NA,"India",NA
"268","A0616",10.94045175,"conv","shoes",4,2,"0",NA,"India",NA
"269","A0619",11.44695414,"conv","shoes",4,2,"0",NA,"India",NA
"270","A0622",11.45790554,"conv","shoes",4,2,"0",NA,"India",NA
"271","A0624",11.00889802,"conv","shoes",4,2,"1",NA,"India",NA
"272","Z06004",11.50171116,"conv","shoes",4,2,"1",NA,"India",NA
"273","Z06006",11.44969199,"conv","shoes",4,2,"0",NA,"India",NA
"274","Z06010",11.94250513,"conv","shoes",4,2,"0",NA,"India",NA
"275","Z06012",11.61943874,"conv","shoes",4,2,"0",NA,"India",NA
"276","Z06013",10.61738535,"conv","shoes",4,2,"0",NA,"India",NA
"277","Z06015",11.50171116,"conv","shoes",4,2,"1",NA,"India",NA
"278","Z06018",11.24982888,"conv","shoes",4,2,"1",NA,"India",NA
"279","Z06022",10.81998631,"conv","shoes",4,2,"0",NA,"India",NA
"280","Z09002",17.36892539,"conv","shoes",4,2,"0",NA,"India",NA
"281","Z09010",14.2477755,"conv","shoes",4,2,"0",NA,"India",NA
"282","Z09011",13.9028063,"conv","shoes",4,2,"1",NA,"India",NA
"283","Z09022",13.76043806,"conv","shoes",4,2,"0",NA,"India",NA
"284","Z09025",13.76043806,"conv","shoes",4,2,"0",NA,"India",NA
"285","Z09026",14.6091718,"conv","shoes",4,2,"0",NA,"India",NA
"286","Z09031",14.95140315,"conv","shoes",4,2,"0",NA,"India",NA
"287","Z09035",13.65913758,"conv","shoes",4,2,"1",NA,"India",NA
"288","A0517",10.47501711,"conv","shoes",4,3,"0",NA,"India",NA
"289","A0519",10.6255989,"conv","shoes",4,3,"0",NA,"India",NA
"290","A0524",10.28336756,"conv","shoes",4,3,"0",NA,"India",NA
"291","A0525",10.68035592,"conv","shoes",4,3,"1",NA,"India",NA
"292","A0526",10.30253251,"conv","shoes",4,3,"0",NA,"India",NA
"293","A0527",10.17111567,"conv","shoes",4,3,"0",NA,"India",NA
"294","A0528",10.67488022,"conv","shoes",4,3,"0",NA,"India",NA
"295","A0529",10.55715264,"conv","shoes",4,3,"0",NA,"India",NA
"296","A0530",10.80355921,"conv","shoes",4,3,"0",NA,"India",NA
"297","A0531",11.18138261,"conv","shoes",4,3,"1",NA,"India",NA
"298","A0532",10.19849418,"conv","shoes",4,3,"0",NA,"India",NA
"299","A0601",10.36550308,"conv","shoes",4,3,"0",NA,"India",NA
"300","A0603",11.38672142,"conv","shoes",4,3,"0",NA,"India",NA
"301","A0603",11.38672142,"conv","shoes",4,3,"0",NA,"India",NA
"302","A0604",11.41957563,"conv","shoes",4,3,"0",NA,"India",NA
"303","A0605",11.66324435,"conv","shoes",4,3,"0",NA,"India",NA
"304","A0606",10.92950034,"conv","shoes",4,3,"0",NA,"India",NA
"305","A0607",10.85284052,"conv","shoes",4,3,"0",NA,"India",NA
"306","A0609",11.43326489,"conv","shoes",4,3,"1",NA,"India",NA
"307","A0610",11.46338125,"conv","shoes",4,3,"1",NA,"India",NA
"308","A0614",11.76180698,"conv","shoes",4,3,"1",NA,"India",NA
"309","A0616",10.94045175,"conv","shoes",4,3,"0",NA,"India",NA
"310","A0619",11.44695414,"conv","shoes",4,3,"0",NA,"India",NA
"311","A0622",11.45790554,"conv","shoes",4,3,"0",NA,"India",NA
"312","A0624",11.00889802,"conv","shoes",4,3,"0",NA,"India",NA
"313","Z06004",11.50171116,"conv","shoes",4,3,"0",NA,"India",NA
"314","Z06006",11.44969199,"conv","shoes",4,3,"0",NA,"India",NA
"315","Z06010",11.94250513,"conv","shoes",4,3,"0",NA,"India",NA
"316","Z06012",11.61943874,"conv","shoes",4,3,"0",NA,"India",NA
"317","Z06013",10.61738535,"conv","shoes",4,3,"0",NA,"India",NA
"318","Z06015",11.50171116,"conv","shoes",4,3,"1",NA,"India",NA
"319","Z06018",11.24982888,"conv","shoes",4,3,"0",NA,"India",NA
"320","Z06022",10.81998631,"conv","shoes",4,3,"0",NA,"India",NA
"321","Z09002",17.36892539,"conv","shoes",4,3,"1",NA,"India",NA
"322","Z09010",14.2477755,"conv","shoes",4,3,"0",NA,"India",NA
"323","Z09011",13.9028063,"conv","shoes",4,3,"1",NA,"India",NA
"324","Z09022",13.76043806,"conv","shoes",4,3,"0",NA,"India",NA
"325","Z09025",13.76043806,"conv","shoes",4,3,"0",NA,"India",NA
"326","Z09026",14.6091718,"conv","shoes",4,3,"0",NA,"India",NA
"327","Z09031",14.95140315,"conv","shoes",4,3,"0",NA,"India",NA
"328","Z09035",13.65913758,"conv","shoes",4,3,"0",NA,"India",NA
"329","A0517",10.47501711,"moral","namecall",5,0,"2",NA,"India",NA
"330","A0519",10.6255989,"moral","namecall",5,0,"1",NA,"India",NA
"331","A0524",10.28336756,"moral","namecall",5,0,"1",NA,"India",NA
"332","A0525",10.68035592,"moral","namecall",5,0,"1",NA,"India",NA
"333","A0526",10.30253251,"moral","namecall",5,0,"1",NA,"India",NA
"334","A0527",10.17111567,"moral","namecall",5,0,"1",NA,"India",NA
"335","A0528",10.67488022,"moral","namecall",5,0,"1",NA,"India",NA
"336","A0529",10.55715264,"moral","namecall",5,0,"1",NA,"India",NA
"337","A0530",10.80355921,"moral","namecall",5,0,"2",NA,"India",NA
"338","A0531",11.18138261,"moral","namecall",5,0,NA,NA,"India",NA
"339","A0532",10.19849418,"moral","namecall",5,0,"1",NA,"India",NA
"340","A0601",10.36550308,"moral","namecall",5,0,"1",NA,"India",NA
"341","A0603",11.38672142,"moral","namecall",5,0,"2",NA,"India",NA
"342","A0603",11.38672142,"moral","namecall",5,0,"1",NA,"India",NA
"343","A0604",11.41957563,"moral","namecall",5,0,"1",NA,"India",NA
"344","A0605",11.66324435,"moral","namecall",5,0,"1",NA,"India",NA
"345","A0606",10.92950034,"moral","namecall",5,0,"2",NA,"India",NA
"346","A0607",10.85284052,"moral","namecall",5,0,"1",NA,"India",NA
"347","A0609",11.43326489,"moral","namecall",5,0,"2",NA,"India",NA
"348","A0610",11.46338125,"moral","namecall",5,0,"1",NA,"India",NA
"349","A0614",11.76180698,"moral","namecall",5,0,"1",NA,"India",NA
"350","A0616",10.94045175,"moral","namecall",5,0,"1",NA,"India",NA
"351","A0619",11.44695414,"moral","namecall",5,0,"3",NA,"India",NA
"352","A0622",11.45790554,"moral","namecall",5,0,"1",NA,"India",NA
"353","A0624",11.00889802,"moral","namecall",5,0,"1",NA,"India",NA
"354","Z06004",11.50171116,"moral","namecall",5,0,"1",NA,"India",NA
"355","Z06006",11.44969199,"moral","namecall",5,0,"1",NA,"India",NA
"356","Z06010",11.94250513,"moral","namecall",5,0,"1",NA,"India",NA
"357","Z06012",11.61943874,"moral","namecall",5,0,"1",NA,"India",NA
"358","Z06013",10.61738535,"moral","namecall",5,0,"1",NA,"India",NA
"359","Z06015",11.50171116,"moral","namecall",5,0,"2",NA,"India",NA
"360","Z06018",11.24982888,"moral","namecall",5,0,"1",NA,"India",NA
"361","Z06022",10.81998631,"moral","namecall",5,0,"1",NA,"India",NA
"362","Z09002",17.36892539,"moral","namecall",5,0,"2",NA,"India",NA
"363","Z09010",14.2477755,"moral","namecall",5,0,"2",NA,"India",NA
"364","Z09011",13.9028063,"moral","namecall",5,0,"2",NA,"India",NA
"365","Z09022",13.76043806,"moral","namecall",5,0,"1",NA,"India",NA
"366","Z09025",13.76043806,"moral","namecall",5,0,"3",NA,"India",NA
"367","Z09026",14.6091718,"moral","namecall",5,0,"1",NA,"India",NA
"368","Z09031",14.95140315,"moral","namecall",5,0,"3",NA,"India",NA
"369","Z09035",13.65913758,"moral","namecall",5,0,"1",NA,"India",NA
"370","A0517",10.47501711,"moral","namecall",5,1,"0",NA,"India",NA
"371","A0519",10.6255989,"moral","namecall",5,1,"0",NA,"India",NA
"372","A0524",10.28336756,"moral","namecall",5,1,"0",NA,"India",NA
"373","A0525",10.68035592,"moral","namecall",5,1,"1",NA,"India",NA
"374","A0526",10.30253251,"moral","namecall",5,1,"0",NA,"India",NA
"375","A0527",10.17111567,"moral","namecall",5,1,"0",NA,"India",NA
"376","A0528",10.67488022,"moral","namecall",5,1,"0",NA,"India",NA
"377","A0529",10.55715264,"moral","namecall",5,1,"0",NA,"India",NA
"378","A0530",10.80355921,"moral","namecall",5,1,"0",NA,"India",NA
"379","A0531",11.18138261,"moral","namecall",5,1,"0",NA,"India",NA
"380","A0532",10.19849418,"moral","namecall",5,1,"0",NA,"India",NA
"381","A0601",10.36550308,"moral","namecall",5,1,"0",NA,"India",NA
